iter	RMSE
0	1.256815746
1	1.070579124
2	0.9826296901
3	0.9183141962
4	0.8758580695
5	0.8476580937
6	0.8253848867
7	0.8002721231
8	0.7850015165
9	0.7689468219
10	0.7566259591
11	0.7414938493
12	0.7305968385
13	0.7223346345
14	0.714372521
15	0.707391479
16	0.7017079695
17	0.6917440496
18	0.6849348227
19	0.6764653598
20	0.6523171013
21	0.6475354388
22	0.6391495318
23	0.6335894604
24	0.6281970477
25	0.6242856204
26	0.6212942152
27	0.6185795164
28	0.6140688908
29	0.6116595033
30	0.6061361197
31	0.603383696
32	0.6005770739
33	0.597474393
34	0.5930199005
35	0.5875195588
36	0.583821904
37	0.5811412573
38	0.5784468886
39	0.5768772202
40	0.5747239862
41	0.572366086
42	0.5691771459
43	0.5661815441
44	0.5628544563
45	0.5603063838
46	0.5584591851
47	0.556685253
48	0.5548360334
49	0.5527831281
50	0.5508342976
51	0.548335987
52	0.5466775487
53	0.54513102
54	0.5441918823
55	0.5423527257
56	0.5407101984
57	0.5384132798
58	0.536433053
59	0.534818372
60	0.5335399693
61	0.5323191562
62	0.5309894943
63	0.5294638501
64	0.5282948199
65	0.5265526051
66	0.5251970371
67	0.5240018676
68	0.5224259646
69	0.5202003505
70	0.5191403446
71	0.5180112138
72	0.5167899751
73	0.5149864392
74	0.5136521732
75	0.5128346569
76	0.5112577188
77	0.5100825194
78	0.5090818091
79	0.5081406525
80	0.5072548625
81	0.5063603768
82	0.5055281419
83	0.5047121888
84	0.5037889884
85	0.5030771809
86	0.5020848051
87	0.5010708222
88	0.500085214
89	0.4987225691
90	0.497741781
91	0.4971650043
92	0.4957829523
93	0.4951861886
94	0.4944824172
95	0.4933611064
96	0.4926105281
97	0.4916647306
98	0.4911281925
99	0.4904851624
100	0.489911558
101	0.4890564005
102	0.4884384392
103	0.4874366687
104	0.4868274253
105	0.4862121852
106	0.4857091801
107	0.4845448723
108	0.483848854
109	0.4831652252
110	0.4825836628
111	0.482004123
112	0.4813057012
113	0.4807158361
114	0.4800443183
115	0.4796035372
116	0.4790822358
117	0.4786143598
118	0.478091924
119	0.4774221747
120	0.4761741502
121	0.4755860654
122	0.4727589296
123	0.472287231
124	0.4715819245
125	0.4701068839
126	0.4694791355
127	0.4689554633
128	0.468417897
129	0.4672711962
130	0.4668767143
131	0.4663618326
132	0.4658096384
133	0.4650178694
134	0.4641004809
135	0.4636481608
136	0.4624224726
137	0.4613247448
138	0.4608925563
139	0.4604180241
140	0.4597418482
141	0.4591999436
142	0.4587513283
143	0.4583682991
144	0.4580083899
145	0.4575202947
146	0.4571503429
147	0.4568183315
148	0.4560154634
149	0.4551919348
150	0.4548262107
151	0.4541547104
152	0.4537983321
153	0.4534176215
154	0.4531502492
155	0.452196049
156	0.4515951258
157	0.4511550981
158	0.4508110851
159	0.4503953221
160	0.4498420723
161	0.449456709
162	0.4491061324
163	0.4487972706
164	0.4482906298
165	0.4478903216
166	0.4476049733
167	0.4473247232
168	0.4470596154
169	0.4466536237
170	0.4462795721
171	0.4458698051
172	0.4455338675
173	0.4452195005
174	0.4448585128
175	0.4446333987
176	0.4443342684
177	0.4440025723
178	0.443478124
179	0.4432100673
180	0.442660268
181	0.4423609188
182	0.4421165447
183	0.4417339812
184	0.4413316048
185	0.441082683
186	0.4408243729
187	0.4402494085
188	0.4391327565
189	0.4387891647
190	0.43840353
191	0.4381107803
192	0.437831587
193	0.4375073096
194	0.4372275414
195	0.4369689154
196	0.4367032121
197	0.4364015692
198	0.4359555913
199	0.435600827
200	0.4351137779
201	0.4348658823
202	0.4345599755
203	0.4343232338
204	0.4340158648
205	0.4336085929
206	0.4333467714
207	0.4328075589
208	0.4325852196
209	0.4323617376
210	0.4321760609
211	0.4319547075
212	0.4317746434
213	0.4314756828
214	0.4312679963
215	0.4311083063
216	0.4308456014
217	0.4306131812
218	0.4299990485
219	0.4296913076
220	0.4295557513
221	0.4293319531
222	0.4290545102
223	0.4288076275
224	0.428532946
225	0.4282509716
226	0.4279782329
227	0.4276711926
228	0.4274939586
229	0.4271564009
230	0.4270135887
231	0.4266895555
232	0.4264198933
233	0.4262004487
234	0.4258962429
235	0.4255345479
236	0.4251720613
237	0.4250051854
238	0.4247893054
239	0.4245478258
240	0.4243007173
241	0.4240806744
242	0.4239236858
243	0.423648366
244	0.423536921
245	0.4225592817
246	0.4224433574
247	0.422289095
248	0.4221725006
249	0.4220357477
250	0.421851452
251	0.4215905272
252	0.4214107582
253	0.421303688
254	0.421154393
255	0.4209263961
256	0.4205291274
257	0.4200849451
258	0.4196867519
259	0.4194472742
260	0.4192187022
261	0.4189831707
262	0.4187703568
263	0.4186086635
264	0.4183337398
265	0.418054341
266	0.4178610947
267	0.4176151485
268	0.4172084903
269	0.4168229827
270	0.4165454158
271	0.4164257491
272	0.4162766371
273	0.4159871635
274	0.4158662932
275	0.4156306617
276	0.4151187598
277	0.4147859393
278	0.414504947
279	0.4142329441
280	0.4140183104
281	0.413887582
282	0.4136865343
283	0.4134696951
284	0.4133514364
285	0.4131583325
286	0.4128896942
287	0.4126936746
288	0.4125685226
289	0.412392706
290	0.4121760428
291	0.4120478912
292	0.4118710842
293	0.4117149777
294	0.4113657908
295	0.4110660761
296	0.4107488232
297	0.4105897839
298	0.4104489244
299	0.4102775209
