iter	Passed	Remaining
0	24	4844
1	33	3339
2	44	2929
3	54	2676
4	64	2503
5	73	2373
6	82	2275
7	92	2227
8	102	2169
9	112	2130
10	122	2101
11	134	2100
12	143	2061
13	153	2037
14	163	2013
15	172	1986
16	181	1957
17	191	1937
18	201	1916
19	210	1893
20	220	1876
21	230	1864
22	239	1846
23	250	1837
24	259	1817
25	269	1805
26	278	1786
27	287	1767
28	296	1747
29	305	1732
30	314	1715
31	324	1704
32	334	1691
33	342	1673
34	352	1663
35	361	1647
36	371	1636
37	380	1622
38	390	1610
39	399	1598
40	408	1584
41	417	1570
42	426	1558
43	435	1545
44	445	1535
45	469	1571
46	486	1584
47	495	1569
48	504	1554
49	513	1540
50	522	1525
51	531	1512
52	541	1502
53	551	1489
54	561	1479
55	572	1472
56	582	1461
57	591	1448
58	603	1442
59	614	1432
60	622	1419
61	632	1407
62	641	1396
63	652	1386
64	663	1378
65	672	1366
66	682	1353
67	691	1341
68	700	1330
69	709	1317
70	718	1305
71	727	1294
72	737	1282
73	746	1271
74	755	1259
75	765	1248
76	774	1237
77	784	1226
78	794	1216
79	804	1206
80	813	1195
81	823	1184
82	832	1173
83	843	1164
84	852	1153
85	863	1144
86	873	1133
87	883	1124
88	894	1115
89	903	1104
90	913	1093
91	922	1082
92	931	1071
93	941	1061
94	950	1050
95	967	1048
96	995	1057
97	1050	1093
98	1064	1085
99	1089	1089
100	1115	1093
101	1128	1084
102	1138	1071
103	1147	1059
104	1158	1047
105	1167	1035
106	1177	1023
107	1186	1011
108	1196	999
109	1206	986
110	1215	974
111	1225	962
112	1235	951
113	1244	939
114	1255	927
115	1265	916
116	1276	905
117	1286	893
118	1295	882
119	1305	870
120	1315	858
121	1324	846
122	1333	834
123	1344	824
124	1353	812
125	1364	801
126	1373	789
127	1383	778
128	1392	766
129	1402	754
130	1411	743
131	1420	731
132	1430	720
133	1439	708
134	1449	698
135	1460	687
136	1469	675
137	1480	665
138	1489	653
139	1499	642
140	1509	631
141	1518	620
142	1528	609
143	1537	597
144	1547	587
145	1561	577
146	1571	566
147	1581	555
148	1590	544
149	1600	533
150	1610	522
151	1620	511
152	1629	500
153	1639	489
154	1648	478
155	1658	467
156	1667	456
157	1678	446
158	1716	442
159	1731	432
160	1742	422
161	1752	411
162	1763	400
163	1773	389
164	1782	378
165	1792	367
166	1801	356
167	1811	344
168	1820	333
169	1830	322
170	1840	312
171	1850	301
172	1860	290
173	1873	279
174	1883	269
175	1894	258
176	1904	247
177	1913	236
178	1923	225
179	1932	214
180	1942	203
181	1951	193
182	1960	182
183	1971	171
184	1980	160
185	1991	149
186	2001	139
187	2010	128
188	2021	117
189	2030	106
190	2040	96
191	2049	85
192	2059	74
193	2069	64
194	2079	53
195	2089	42
196	2099	31
197	2109	21
198	2122	10
199	2133	0
